make: hw3.out started >>>
node: 9, x: 15.99, y: 6.98, w: 4.90, h: 1.63
node: 10, x: 10.76, y: 6.84, w: 3.16, h: 4.43
node: 11, x: 4.03, y: 6.81, w: 3.00, h: 3.00
node: 12, x: 13.93, y: 7.06, w: 2.00, h: 4.00
node: 13, x: 15.99, y: 9.33, w: 2.00, h: 6.00
node: 14, x: -0.00, y: 14.23, w: 2.00, h: 3.00
node: 15, x: 2.00, y: 14.32, w: 1.41, h: 5.66
node: 16, x: 18.05, y: 8.82, w: 3.46, h: 3.47
node: 17, x: 22.20, y: 15.29, w: 2.83, h: 2.12
node: 18, x: 7.58, y: 6.77, w: 2.67, h: 1.87
node: 19, x: 1.77, y: 12.04, w: 2.74, h: 2.19
node: 20, x: 14.52, y: 12.52, w: 1.41, h: 2.83
node: 21, x: 12.02, y: 11.87, w: 2.50, h: 2.00
node: 22, x: 1.80, y: 9.81, w: 2.68, h: 2.24
node: 23, x: 7.07, y: 11.87, w: 2.00, h: 2.00
node: 24, x: 0.19, y: 12.10, w: 1.41, h: 2.12
node: 25, x: 8.65, y: 14.40, w: 5.69, h: 2.11
node: 26, x: 0.02, y: 9.82, w: 1.75, h: 2.28
node: 27, x: 11.77, y: 16.52, w: 4.00, h: 2.00
node: 28, x: 4.51, y: 10.25, w: 2.54, h: 3.55
node: 29, x: 25.10, y: 14.46, w: 1.73, h: 3.46
node: 30, x: 18.09, y: 17.81, w: 2.00, h: 2.00
node: 31, x: 18.18, y: 12.29, w: 4.00, h: 2.00
node: 32, x: 22.40, y: 12.39, w: 2.42, h: 2.90
node: 33, x: 15.94, y: 15.33, w: 2.11, h: 1.90
node: 34, x: 3.55, y: 14.23, w: 3.38, h: 4.73
node: 35, x: 9.07, y: 11.35, w: 2.95, h: 3.05
node: 36, x: 21.51, y: 9.14, w: 2.83, h: 2.83
node: 37, x: 24.34, y: 9.25, w: 1.53, h: 2.61
node: 38, x: 7.24, y: 14.40, w: 1.41, h: 2.12
node: 39, x: 9.44, y: 16.80, w: 2.32, h: 3.02
node: 40, x: 7.07, y: 8.64, w: 3.70, h: 2.71
node: 41, x: 18.16, y: 14.29, w: 4.03, h: 3.22
node: 42, x: 21.64, y: 17.94, w: 3.46, h: 1.73
node: 43, x: 20.09, y: 17.52, w: 1.55, h: 2.58
node: 44, x: 15.93, y: 17.23, w: 2.12, h: 2.36
node: 45, x: 7.23, y: 16.73, w: 2.21, h: 3.16
area: 358.168049 = 26.87 * 13.33
node: 1, x: 6.95, y: 14.69, w: 2.00, h: 2.00
node: 2, x: 15.10, y: 14.17, w: 3.16, h: 1.58
node: 3, x: 16.34, y: 19.20, w: 3.00, h: 1.00
node: 4, x: 0.59, y: 5.44, w: 2.83, h: 1.41
node: 5, x: 17.76, y: 7.91, w: 2.00, h: 3.00
node: 6, x: 4.34, y: 16.46, w: 2.50, h: 2.00
node: 7, x: 10.45, y: 4.34, w: 3.65, h: 1.10
node: 8, x: 6.93, y: 16.69, w: 2.05, h: 3.42
node: 9, x: 20.01, y: 7.58, w: 1.63, h: 4.90
node: 10, x: 0.00, y: 8.85, w: 3.75, h: 3.73
node: 11, x: 8.45, y: 5.47, w: 2.68, h: 3.35
node: 12, x: 0.26, y: 16.39, w: 4.00, h: 2.00
node: 13, x: 0.04, y: 12.58, w: 6.00, h: 2.00
node: 14, x: 19.98, y: 16.73, w: 2.45, h: 2.45
node: 15, x: 9.47, y: 14.05, w: 1.41, h: 5.66
node: 16, x: 11.13, y: 13.93, w: 3.66, h: 3.27
node: 17, x: 21.67, y: 7.58, w: 2.83, h: 2.12
node: 18, x: 4.26, y: 14.58, w: 2.67, h: 1.87
node: 19, x: 15.02, y: 7.55, w: 2.74, h: 2.19
node: 20, x: 18.57, y: 15.27, w: 1.41, h: 2.83
node: 21, x: 11.71, y: 17.20, w: 2.50, h: 2.00
node: 22, x: 4.00, y: 5.80, w: 2.24, h: 2.68
node: 23, x: 15.18, y: 11.72, w: 2.00, h: 2.00
node: 24, x: 20.12, y: 14.60, w: 1.41, h: 2.12
node: 25, x: 13.00, y: 5.44, w: 5.69, h: 2.11
node: 26, x: 0.72, y: 18.46, w: 2.28, h: 1.75
node: 27, x: 18.69, y: 5.50, w: 4.00, h: 2.00
node: 28, x: 21.81, y: 9.70, w: 2.54, h: 3.55
node: 29, x: 0.52, y: 14.65, w: 3.46, h: 1.73
node: 30, x: 11.96, y: 7.55, w: 2.00, h: 2.00
node: 31, x: 0.00, y: 6.85, w: 4.00, h: 2.00
node: 32, x: 17.18, y: 11.27, w: 2.42, h: 2.90
node: 33, x: 9.23, y: 11.94, w: 1.90, h: 2.11
node: 34, x: 11.14, y: 9.55, w: 3.65, h: 4.38
node: 35, x: 6.07, y: 8.88, w: 3.16, h: 2.85
node: 36, x: 6.24, y: 11.73, w: 2.83, h: 2.83
node: 37, x: 15.08, y: 9.74, w: 2.61, h: 1.53
node: 38, x: 20.12, y: 12.48, w: 1.41, h: 2.12
node: 39, x: 3.75, y: 9.21, w: 2.32, h: 3.02
node: 40, x: 21.65, y: 13.25, w: 2.87, h: 3.48
node: 41, x: 14.80, y: 15.75, w: 3.77, h: 3.45
node: 42, x: 3.00, y: 18.47, w: 3.46, h: 1.73
node: 43, x: 9.41, y: 9.36, w: 1.55, h: 2.58
node: 44, x: 22.43, y: 16.77, w: 2.12, h: 2.36
node: 45, x: 6.24, y: 5.56, w: 2.21, h: 3.16
area: 389.599453 = 24.55 * 15.87
node: 1, x: 5.48, y: 18.34, w: 2.00, h: 2.00
node: 2, x: 2.13, y: 7.96, w: 3.16, h: 1.58
node: 3, x: 9.74, y: 19.46, w: 3.00, h: 1.00
node: 4, x: 26.82, y: 13.39, w: 1.41, h: 2.83
node: 5, x: 12.88, y: 7.83, w: 2.00, h: 3.00
node: 6, x: 5.52, y: 9.87, w: 2.00, h: 2.50
node: 7, x: 20.00, y: 12.05, w: 3.65, h: 1.10
node: 8, x: 8.97, y: 14.41, w: 3.42, h: 2.05
